Ticker,Name,Market Cap,Price
"LGO","Largo Resources Ltd",869927720,14.8
"GMRE","Global Medical REIT Inc",869356573.8,14.3
"XL","XL Fleet Corporation - Class A",866628535.92,6.23
"CCX","Churchill Capital Corp II - Class A",865087500,10.03
"AFMD","Affimed N.V.",864928530.4,9.38
"MRUS","Merus N.V",864398924.62,22.54
"AXGN","Axogen Inc",864348910.52,21.08
"FI","Franks International N.V.",863030068.01,3.79
"YI","111 Inc",859837690.4,10.85
"RUTH","Ruths Hospitality Group Inc",858662428.26,24.54
"ALGS","Aligos Therapeutics Inc",858458025,22.5
"MSGN","MSG Networks Inc - Class A",857437978.05,15.03
"PRDO","Perdoceo Education Corporation",856548478.72,12.16
"RTP","Reinvent Technology Partners - Class A",855600000,9.92
"DGNR","Dragoneer Growth Opportunities Corp - Class A",854737500,9.91
"NTP","Nam Tai Property Inc",854516203.8,21.8
"ARR","ARMOUR Residential REIT Inc",853503431.48,11.98
"PTNR","Partner Communications Company",851973694.18,4.54
"PAYD","Paid Inc",851783789.5,2.59
"BTU","Peabody Energy Corp New",845380000,8.6
"EFC","Ellington Financial Inc",844548684.36,19.29
"NTST","Netstreit Corp",843275774,21.4
"MESO","Mesoblast Ltd",843223239.728,7.22
"STFC","State Auto Financial Corp",842707968.85,19.13
"TSHA","Taysha Gene Therapies Inc",841767900.6,22.2
"DHC","Diversified Healthcare Trust",841087727.34,3.53
"PNTM","Pontem Corp - Class A",840075000,9.74
"GATO","Gatos Silver Inc",840043995.28,14.14
"HONE","HarborOne Bancorp Inc",838976029.535,14.935
"MMX","Maverix Metals Inc",835905438.55,6.27
"TCPC","BlackRock TCP Capital Corp",835314637.44,14.46
"UUUU","Energy Fuels Inc",834961588.56,5.94
"VIVO","Meridian Bioscience Inc",834103231.5,19.25
"RADI","Radius Global Infrastructure Inc - Class A",832520028.8,13.6
"TIG","Trean Insurance Group Inc",832190683.14,16.27
"ARLP","Alliance Resource Partners LP",825496971.31,6.49
"LIND","Lindblad Expeditions Holdings Inc",824086663.44,16.44
"PLAB","Photronics Inc",823241454.56,12.88
"TGLS","Tecnoglass Inc",819529347.87,17.19
"HPK","HighPeak Energy Inc",819254938.32,8.84
"PZN","Pzena Investment Management Inc - Class A",814207563.18,11.22
"AERI","Aerie Pharmaceuticals Inc",812660698.37,17.33
"HBNC","Horizon Bancorp Inc (IN)",811741520.83,18.47
"CANG","Cango Inc",810823100.8,5.35
"GLP","Global Partners LP",810454221.92,23.84
"PRAX","Praxis Precision Medicines Inc",810021652.1,20.95
"SKIN","Beauty Health Company (The) - Class A",808450000,14.06
"UXIN","Uxin Ltd",806891314.92606,2.82
"TPC","Tutor Perini Corp",804304814.53,15.79
"COLL","Collegium Pharmaceutical Inc",803293214.22,22.79
"VITL","Vital Farms Inc",801301297.6,20.05
"PARR","Par Pacific Holdings Inc",801046218.28,13.31
"PAE","PAE Incorporated - Class A",800400409,8.6
"GSM","Ferroglobe Plc",800303541.18,4.73
"PASG","Passage Bio Inc",799946312.88,14.82
"HLX","Helix Energy Solutions Group Inc",797329896.52,5.29
"ANNX","Annexon Inc",792152149.68,20.76
"ESTE","Earthstone Energy Inc - Class A",791641680.48,10.08
"ACB","Aurora Cannabis Inc",790469643.46,7.02
"MYE","Myers Industries Inc",788487293.75,21.85
"MGIC","Magic Software Enterprises Ltd",787437166.42,16.09
"HOLI","Hollysys Automation Technologies Ltd",786982287,13
"ABML","American Battery Metals Corp",786886912.845,1.485
"AHH","Armada Hoffler Properties Inc",786451423.68,13.04
